iter	Passed	Remaining
402	13692	20284
403	13714	20231
404	13732	20174
405	13751	20119
406	13774	20069
407	13794	20015
408	13818	19967
409	13846	19924
410	13868	19875
411	13890	19824
412	13915	19778
413	13937	19728
414	13962	19682
415	13985	19633
416	14014	19593
417	14038	19546
418	14064	19502
419	14086	19453
420	14109	19404
421	14133	19358
422	14154	19307
423	14175	19256
424	14198	19210
425	14219	19159
426	14252	19125
427	14277	19080
428	14298	19031
429	14322	18985
430	14348	18942
431	14372	18897
432	14397	18853
433	14425	18812
434	14448	18766
435	14470	18719
436	14494	18673
437	14513	18622
438	14540	18581
439	14565	18538
440	14586	18489
441	14611	18446
442	14633	18398
443	14653	18349
444	14676	18304
445	14699	18258
446	14718	18208
447	14741	18163
448	14765	18119
449	14783	18068
450	14807	18025
451	14831	17981
452	14855	17937
453	14879	17894
454	14900	17847
455	14918	17797
456	14935	17746
457	14960	17704
458	14983	17659
459	15002	17611
460	15024	17566
461	15046	17521
462	15068	17476
463	15090	17432
464	15113	17388
465	15136	17345
466	15159	17302
467	15181	17257
468	15206	17217
469	15229	17173
470	15252	17130
471	15271	17082
472	15290	17035
473	15308	16987
474	15325	16938
475	15341	16888
476	15357	16839
477	15374	16789
478	15391	16741
479	15410	16694
480	15428	16647
481	15445	16598
482	15462	16550
483	15479	16502
484	15496	16455
485	15514	16408
486	15535	16365
487	15554	16319
488	15570	16271
489	15587	16223
490	15605	16177
491	15622	16131
492	15639	16083
493	15655	16035
494	15673	15989
495	15690	15943
496	15708	15897
497	15725	15852
498	15742	15805
499	15759	15759
500	15776	15713
501	15793	15667
502	15811	15623
503	15829	15577
504	15846	15533
505	15863	15487
506	15879	15440
507	15895	15395
508	15912	15350
509	15932	15307
510	15952	15265
511	15973	15224
512	15998	15187
513	16031	15157
514	16057	15122
515	16090	15092
516	16119	15059
517	16153	15031
518	16185	15000
519	16246	14996
520	16271	14959
521	16291	14918
522	16312	14877
523	16332	14836
524	16352	14795
525	16379	14760
526	16409	14728
527	16450	14705
528	16477	14670
529	16502	14634
530	16526	14596
531	16553	14561
532	16575	14522
533	16598	14485
534	16621	14446
535	16652	14415
536	16708	14406
537	16737	14372
538	16759	14334
539	16784	14297
540	16804	14257
541	16826	14218
542	16852	14183
543	16916	14179
544	16939	14142
545	16974	14114
546	17002	14080
547	17032	14048
548	17060	14014
549	17145	14027
550	17197	14013
551	17217	13973
552	17243	13938
553	17263	13898
554	17283	13857
555	17302	13816
556	17321	13776
557	17342	13737
558	17361	13696
559	17384	13659
560	17402	13618
561	17425	13580
562	17447	13543
563	17467	13503
564	17488	13464
565	17513	13429
566	17534	13390
567	17564	13358
568	17588	13322
569	17609	13284
570	17628	13244
571	17645	13203
572	17662	13162
573	17678	13120
574	17696	13080
575	17713	13039
576	17780	13035
577	17904	13071
578	18013	13098
579	18122	13123
580	18227	13145
581	18283	13131
582	18366	13136
583	18414	13116
584	18455	13092
585	18491	13064
586	18549	13050
587	18587	13024
588	18616	12990
589	18646	12958
590	18677	12925
591	18707	12893
592	18742	12863
593	18802	12851
594	18846	12828
595	18892	12806
596	18941	12786
597	18991	12767
598	19035	12743
599	19074	12716
600	19112	12688
601	19147	12659
602	19181	12628
603	19214	12597
