iter	Logloss
0	0.6790623819
1	0.6660047055
2	0.6542744539
3	0.6441702313
4	0.6346187729
5	0.6262210199
6	0.6184459622
7	0.6116568261
8	0.6051869923
9	0.5997683532
10	0.5946765884
11	0.5902564854
12	0.5859827606
13	0.5825420141
14	0.5791991932
15	0.576236905
16	0.5734134967
17	0.5708565029
18	0.5686529219
19	0.5665709497
20	0.5649452579
21	0.5632531655
22	0.5615818394
23	0.5601695316
24	0.5588276689
25	0.5575549937
26	0.5566099951
27	0.5556771254
28	0.554691531
29	0.553794302
30	0.5529434661
31	0.552253123
32	0.5515210539
33	0.5508710462
34	0.5502110252
35	0.5496721788
36	0.5491739011
37	0.5487043861
38	0.5482282611
39	0.5478209415
40	0.5474204492
41	0.5470299525
42	0.5465878872
43	0.5462213006
44	0.5459078529
45	0.54559061
46	0.5452655592
47	0.545016884
48	0.5447760852
49	0.5445657326
50	0.5443425659
51	0.5441263974
52	0.5439208994
53	0.5437501998
54	0.5435258745
55	0.5433680659
56	0.5431655407
57	0.5430084252
58	0.5428353536
59	0.5426735294
60	0.5425326628
61	0.5424001933
62	0.5423006979
63	0.5421594869
64	0.5420295321
65	0.5419237569
66	0.5418049311
67	0.5416923195
68	0.541625397
69	0.541535914
70	0.5414409843
71	0.5413265431
72	0.5412191092
73	0.5411043647
74	0.5409931245
75	0.5409352956
76	0.5408351216
77	0.5407724367
78	0.5407499407
79	0.540676094
80	0.540572733
81	0.5404806239
82	0.5403882312
83	0.5403128442
84	0.540244612
85	0.5401672815
86	0.5401046188
87	0.5400187327
88	0.5399338024
89	0.5398743111
90	0.5398049785
91	0.539724333
92	0.5396832727
93	0.5396314983
94	0.5395506551
95	0.5394549269
96	0.5393630851
97	0.5393078423
98	0.5392460737
99	0.5392007585
100	0.539170782
101	0.5391179509
102	0.5390416191
103	0.5389932175
104	0.5389421619
105	0.5389012384
106	0.5388206315
107	0.5387740429
108	0.5387028628
109	0.5386446467
110	0.5385824587
111	0.538539853
112	0.5385027845
113	0.5384718478
114	0.5384290496
115	0.5383460763
116	0.5382730306
117	0.5382053468
118	0.5381552557
119	0.5381195848
120	0.5380604824
121	0.5380260897
122	0.5379862482
123	0.5379269923
124	0.5378307572
125	0.537760549
126	0.5377218755
127	0.5376751193
128	0.537569185
129	0.5375372598
130	0.5374871653
131	0.5374299637
132	0.5373891322
133	0.5373227879
134	0.5372698254
135	0.5372007052
136	0.5371304306
137	0.5370852158
138	0.5370485272
139	0.5369637901
140	0.5369165771
141	0.536886826
142	0.5368694103
143	0.5368127605
144	0.5367604432
145	0.5367086126
146	0.5366701823
147	0.5366088104
148	0.536588273
149	0.5365563475
150	0.5364971339
151	0.5364608386
152	0.5364125174
153	0.5363803865
154	0.5363394794
155	0.5363009664
156	0.5362447425
157	0.5361752129
158	0.5361226391
159	0.5360846766
160	0.5360165906
161	0.5359776968
162	0.5359242362
163	0.5358825337
164	0.5358405428
165	0.5357920514
166	0.5357686109
167	0.5357257924
168	0.5357112094
169	0.5356736319
170	0.53564409
171	0.5355989109
172	0.535565054
173	0.5355243364
174	0.5354965134
175	0.5354727517
176	0.5354317488
177	0.5354046446
178	0.5353685314
179	0.535305805
180	0.5352618163
181	0.5352365469
182	0.5351496408
183	0.5351024307
184	0.5350322129
185	0.5350020957
186	0.5349571881
187	0.5349164673
188	0.5348814548
189	0.5348528658
190	0.5348257189
191	0.5347979246
192	0.5347675746
193	0.5347317618
194	0.5346860846
195	0.5346196608
196	0.534573322
197	0.5345281677
198	0.5344960535
199	0.5344259522
200	0.5343776564
201	0.5343209775
202	0.5342840832
203	0.5342593782
204	0.5342089878
205	0.5341624414
206	0.5341216532
207	0.534059126
208	0.5340211365
209	0.5339809177
210	0.5339442821
211	0.5338823673
212	0.5338519731
213	0.5338346389
214	0.5337791967
215	0.5337338911
216	0.5336669693
217	0.5336373814
218	0.5335877177
219	0.5335347043
220	0.533479052
221	0.5334482714
222	0.5334223856
223	0.5333789987
224	0.5333176217
225	0.5332851459
226	0.5332546814
227	0.533183258
228	0.5331176931
229	0.5330890548
230	0.5330578185
231	0.5329996755
232	0.5329655348
233	0.5329015438
234	0.5328672295
235	0.532802903
236	0.5327165416
237	0.5326720634
238	0.5326279035
239	0.5325814763
240	0.5325262262
241	0.5324723933
242	0.5324321525
243	0.5323861923
244	0.5323395837
245	0.5322748299
246	0.5322135583
247	0.5321653517
248	0.5321277509
249	0.5320619659
250	0.532017256
251	0.5319401852
252	0.5319052616
253	0.5318415765
254	0.5318149424
255	0.531763438
256	0.5316985515
257	0.531653863
258	0.531607433
259	0.5315702939
260	0.5315392547
261	0.5314804897
262	0.5314521305
263	0.5314111689
264	0.5313275812
265	0.5312789282
266	0.5312567055
267	0.5311952141
268	0.5311522203
269	0.531074632
270	0.531003151
271	0.5309550937
272	0.5308979721
273	0.5308764985
274	0.5308298899
275	0.5307586292
276	0.5306638403
277	0.530611651
278	0.5305843694
279	0.5305465023
280	0.5304784054
281	0.530407142
282	0.5303643533
283	0.5303234045
284	0.530263638
285	0.5301929395
286	0.5301443706
287	0.530103086
288	0.53001536
289	0.5299928371
290	0.5299489232
291	0.5298754985
292	0.5298411453
293	0.5298325067
294	0.5297793166
295	0.529739612
296	0.5296710293
297	0.5296412519
298	0.5295966678
299	0.529518304
300	0.5294781674
301	0.5294250973
302	0.5293518477
303	0.5293007019
304	0.5292720244
305	0.5292136271
306	0.5291704854
307	0.5291167602
308	0.5290649093
309	0.5290336838
310	0.5289870354
311	0.5289439443
312	0.5288987505
313	0.5288289117
314	0.5287620045
315	0.528731662
316	0.528701106
317	0.5286757719
318	0.5286404151
319	0.5286062267
320	0.5285397363
321	0.5284909524
322	0.5284476696
323	0.5283823762
324	0.5283378673
325	0.528296303
326	0.5282674156
327	0.5282067893
